time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
1970/01/01/01:04:38.110000,5557,278,110000000,world,-21.858328244787415,0.001545104807759173,-16.99486964250815,0.015407631367885106,1.4698043279984808e-05,0.9998749329153227,0.0035669604957048557
1970/01/01/01:04:38.160000,5558,278,160000000,world,-21.882461092417042,0.00184028094904167,-16.995129963251248,0.015466425337534074,6.483293373801322e-05,0.9998768571069263,0.0026563331764435116
1970/01/01/01:04:38.210000,5559,278,210000000,world,-21.9067537229369,0.002134995925474679,-16.995353161743708,0.015540510070736023,-6.854628741523135e-06,0.999878704174846,0.001034136057884214
1970/01/01/01:04:38.260000,5560,278,260000000,world,-21.93081641575385,0.0024267271517050175,-16.995549730879446,0.015520588750758122,-0.00018772613239594453,0.9998793154240669,-0.0006562551546819836
1970/01/01/01:04:38.310000,5561,278,310000000,world,-21.954562251787273,0.0027123402086509127,-16.995713964538467,0.01544410197251088,-0.00032766600031986106,0.9998786289376977,-0.00202478219184919
1970/01/01/01:04:38.360000,5562,278,360000000,world,-21.978092448482837,0.0029891617876801743,-16.995842255805822,0.015368518206340595,-0.0003916813156814295,0.9998777563283751,-0.0028509004933322496
1970/01/01/01:04:38.410000,5563,278,410000000,world,-22.001455455966866,0.003254388420429905,-16.99593653132477,0.015303105230716839,-0.00033134165415204685,0.9998787164825192,-0.002873588049080009
1970/01/01/01:04:38.460000,5564,278,460000000,world,-22.024730281606594,0.0035048019124222347,-16.99599562213892,0.015265135144929578,-0.00014657680203501565,0.9998816243032276,-0.001921339373258736
1970/01/01/01:04:38.510000,5565,278,510000000,world,-22.048081956245326,0.0037376373201097267,-16.99601478168584,0.01527347360763116,1.3456279309277245e-05,0.999883314362972,-0.00028014532629597286
1970/01/01/01:04:38.560000,5566,278,560000000,world,-22.071164212950972,0.00395546840869743,-16.996008968039533,0.015210300951732866,0.0001059153838215682,0.9998832747834129,0.0014395607965769414
1970/01/01/01:04:38.610000,5567,278,610000000,world,-22.09388587215546,0.004161668342977231,-16.995984664552793,0.015098741847876216,8.157134839952037e-05,0.9998818013160463,0.002899092565796313
